// Compost colors for varkin_system. You may add your own colors, change existing ones, or remove colors that aren't needed.
chalcopyrite_crystal_cluster, #fff89a
chalcopyrite_crystal_large, #ffffff
chalcopyrite_crystal_medium, #ffffff
chalcopyrite_crystal_shard, #ffffe1
chalcopyrite_crystal_small, #ffffff
chalcopyrite_dust, #ffffff
electrum_crystal_cluster, #ffffb6
electrum_crystal_large, #ffffff
electrum_crystal_medium, #ffffff
electrum_crystal_shard, #ffffd7
electrum_crystal_small, #ffffff
electrum_dust, #ffffff
galena_crystal_cluster, #8c98bc
galena_crystal_large, #ffffff
galena_crystal_medium, #ffffff
galena_crystal_shard, #c6cae4
galena_crystal_small, #ffffff
galena_dust, #f5faff
pentlandite_crystal_cluster, #d6c5a5
pentlandite_crystal_large, #ffffff
pentlandite_crystal_medium, #ffffff
pentlandite_crystal_shard, #f8eed2
pentlandite_crystal_small, #ffffff
pentlandite_dust, #ffffff
sphalerite_crystal_cluster, #dda289
sphalerite_crystal_large, #ffffff
sphalerite_crystal_medium, #ffffff
sphalerite_crystal_shard, #f7dcc3
sphalerite_crystal_small, #ffffff
sphalerite_dust, #fffcf5
stannite_crystal_cluster, #dde0ed
stannite_crystal_large, #ffffff
stannite_crystal_medium, #ffffff
stannite_crystal_shard, #fbf7ed
stannite_crystal_small, #ffffff
stannite_dust, #ffffff
